评论内容,性别,点赞数量,回复时间,tags,emotions
要是几年后把推特给干掉就搞笑了。。。[喜极而泣],男,7459,2021-05-05 11:20:08,0,羞耻
观察者网狂喜[滑稽],男,3379,2021-05-05 10:27:40,0,愉快/幸福
这波可是个大买卖啊，谁能得川普就能立马拥有7000万基础用户，继续发展下去很可能成为脸书和油管这样的社交软件，歪果资本家居然错过了这么好的机会[滑稽],保密,1470,2021-05-05 11:19:41,1,愉快/幸福
川皇还在，复辟的希望还在[洛天依_哈哈哈][洛天依_哈哈哈][洛天依_哈哈哈][洛天依_哈哈哈],女,1501,2021-05-05 10:24:16,0,悲伤/痛苦
MAGA!,女,1355,2021-05-05 10:00:01,0,恐惧/害怕
"笑死我了，不能评论不就是控评吗，有微博内味了
再预测一波，不久之后，将此网站的帖子分享到脸书推特被限制无法访问[吃瓜][吃瓜][吃瓜]",男,1676,2021-05-05 12:59:57,0,厌恶/讨厌
我想注册然后当建国同志的铁杆粉[doge],保密,686,2021-05-05 10:13:06,0,愉快/幸福
b站本来就有，各种关评[doge],女,507,2021-05-05 11:42:06,0,恐惧/害怕
拜登干2年嗝屁 川宝强势回归[OK],男,300,2021-05-05 10:53:40,1,羞耻
"老B灯太无聊了，既不会跳舞也不会发推特，更没有一个向往祖国的心
不像我川宝，无论何时，胸前都有一条鲜亮的红领巾[鼓掌]",保密,332,2021-05-05 12:48:41,0,愤怒/生气
肖站算什么，我家川宝宝才是顶流[吃瓜][吃瓜],保密,259,2021-05-05 14:47:06,0,悲伤/痛苦
撇开立场问题，我还挺喜欢特朗普这人的，希望我到了他这个岁数也能活的这么潇洒,男,138,2021-05-05 13:30:52,1,愉快/幸福
南无大懂佛菩萨，您回来了[doge][吃瓜],男,130,2021-05-05 10:01:07,0,悲伤/痛苦
川皇的舞姿，行！[支持][支持][支持],保密,68,2021-05-05 10:01:43,1,愉快/幸福
是不是b站啊（,女,52,2021-05-05 15:09:23,0,平静/冷静
快进到推特禁止分享此网站相关东西,保密,36,2021-05-05 13:16:54,0,平静/冷静
只准点赞的关评网站?这说的不正是观察者网吗?恰好观察者网的祖师爷李世默还有美籍，我好像明白了什么…[OK],男,46,2021-05-05 12:07:21,0,厌恶/讨厌
b站不也一样，卖惨up主被揭发就拉黑,保密,37,2021-05-05 17:18:23,0,愤怒/生气
现在做特朗普的头号粉丝还来得及吗[星星眼],保密,30,2021-05-05 10:18:33,0,恐惧/害怕
果然是中华文化,男,38,2021-05-05 13:16:03,0,平静/冷静
这是不是好早以前的了？[doge],男,1454,2020-05-13 09:57:51,0,愉快/幸福
福建好穷，现在才通网,保密,907,2020-05-13 10:09:42,0,厌恶/讨厌
看来懂王是宇宙网红、顶级流量，不管全地球发生了什么事，懂王都能上热搜[喜极而泣],女,391,2020-05-13 09:59:39,1,悲伤/痛苦
这都几个月前的了[tv_doge]，就硬蹭,男,207,2020-05-13 10:05:08,0,平静/冷静
建议福建团团多搬运点台（yu）湾（le）新闻，毕竟一水之隔[tv_斜眼笑][tv_斜眼笑][tv_斜眼笑],男,158,2020-05-13 10:24:37,0,愉快/幸福
"[蛆音娘_卖萌]没人
[蛆音娘_摇头]比我
[蛆音娘_机智]更懂
[蛆音娘_大笑]民心",男,133,2020-05-13 10:00:48,0,愤怒/生气
大清亡了，终于通网了！[doge],保密,46,2020-05-13 11:20:00,0,悲伤/痛苦
他让世界免于安静[囧],男,32,2020-05-13 10:07:23,0,希望/期待
To save the world .. from ... harmony... ?,保密,1,2020-05-31 18:01:37,0,厌恶/讨厌
西兰花变小了[吃瓜],保密,2,2020-05-13 16:00:10,0,悲伤/痛苦
移动的业务太不行了，网怎么才刚刚连上？[doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge],男,27,2020-05-13 14:04:53,0,厌恶/讨厌
采访第一个时，那个“她”让我笑出声[笑哭],女,9,2020-05-13 12:58:07,0,愤怒/生气
刚刚连上4G  [抠鼻],保密,30,2020-05-13 12:31:48,0,恐惧/害怕
这是好几年前的了[doge],保密,6,2020-05-13 11:13:35,0,平静/冷静
我上次看这个视频还没有上网课呢,男,26,2020-05-13 10:08:11,0,恐惧/害怕
這都是好幾年前的視頻了   能不能與時俱進啊,保密,5,2020-05-13 10:08:10,0,希望/期待
這都是好幾年前的視頻了,保密,10,2020-05-13 10:07:50,0,平静/冷静
"没有人
比我
更懂
西蓝花",男,15,2020-05-13 10:04:53,0,平静/冷静
"没有人
比我
更懂
世界和平
[doge]",男,1,2020-05-13 10:00:35,0,希望/期待
哈哈哈哈哈哈哈哈,男,6,2020-05-13 09:58:56,0,惊讶/震惊
致敬烈士,男,7460,2020-04-04 12:05:55,0,恐惧/害怕
"三年以来，在人民解放战争和人民革命中牺牲的人民英雄们永垂不朽！　　
三十年以来，在人民解放战争和人民革命中牺牲的人民英雄们永垂不朽！　　
由此上溯到一千八百四十年，从那时起，为了反对内外敌人，争取民族独立和人民自由幸福，在历次斗争中牺牲的人民英雄们永垂不朽！”",男,3473,2020-04-04 12:17:38,1,愉快/幸福
"今天，缅怀逝者，致敬英雄。
不忘记每一个因疫情逝去的人。
以国家记忆铭刻疫情留下的痛与思。
英雄们一路走好
谢谢你们为我们负重前行！逝者安息！
向逝去的同胞告别，向一直奋战在一线的同胞致敬
哀悼在抗击新冠肺炎斗争中的牺牲烈士和逝世同胞，
愿逝者安息，愿生者奋发，愿祖国昌盛！",男,3018,2020-04-04 12:08:21,0,希望/期待
特朗普每天醒来第一句话:昨天说的话都当我放屁啊 今天又是新的一天,保密,1677,2020-04-04 13:19:11,0,愤怒/生气
"Имя твоё неизвестно. Подвиг твой бессмертен.
你的姓名无人知晓，你的功绩永世长存。
                          ——莫斯科红场无名英雄纪念碑",男,2263,2020-04-04 12:48:42,0,惊讶/震惊
致敬英雄，共悼逝者,女,1518,2020-04-04 12:13:16,1,悲伤/痛苦
向牺牲在与病毒抗争一线的烈士和同胞致敬,女,869,2020-04-04 12:13:14,0,平静/冷静
"1.“人死了，就变成一个星星。”
“干嘛变成星星呀？”
“给走夜道儿的人照个亮儿……”
──史铁生
2.多希望没有烈士这个词语，多希望还能摘下口罩相见。 你们是英雄，是烈士。为了人民，为了国家奉献出生命。默哀，也向你们致以最高的敬意！你们倒在寒冬中，我们会带着你们留下的希望走向春天
3.致敬我们伟大的逆行者
向最美逆行者致敬
清明时节 断魂无声 逝者安息 生者节哀
向英雄致敬，一路走好。逝者安息。精神长存。
向那些停在冬天的同胞告别，向牺牲的英雄致敬
为所有停留在寒冬的人默哀三分钟。
山记得你 海记得你 人民永远不会忘记你
向疫情中逝去的人民告别，一路走好！每一位为国家，为人民而牺牲的烈士都是民族的脊梁，历史的丰碑，值得每一代人缅怀，感恩。烈士英灵不远，我们当秉承遗志，奋斗不息。
时间的长河流淌不息，冲不淡我们对英雄的缅怀。浴血奋战的每一寸土地，开满鲜花，绿树成荫，我们要珍惜现在来之不易的生活，更要懂得所肩负的历史责任和使命。
告慰忠魂，祭奠逝世同胞，警示后人，以此铭之。",女,813,2020-04-04 12:30:00,0,悲伤/痛苦
致敬英雄！（广东到底什么时候开学啊啊啊啊啊啊[大哭][大哭][大哭]）,男,710,2020-04-04 12:28:08,0,愤怒/生气
变脸王[doge],保密,569,2020-04-04 12:32:09,0,羞耻
