评论内容,性别,点赞数量,回复时间,tags,emotions
世界周刊这么好的节目真是建议每周都往b站上发一发，之前有段时间真是期期不落的看,男,13042,2024-11-18 00:11:53,1,愉快/幸福
这个up的时政长视频做的挺好[doge],男,9137,2024-11-18 00:15:52,1,愉快/幸福
还是央视的好，发音标准，连字幕都省了。,保密,12362,2024-11-18 00:24:44,0,平静/冷静
央视发的[热词系列_知识增加],保密,5967,2024-11-18 00:01:02,1,平静/冷静
支持央妈多出高质量长视频[打call],保密,4253,2024-11-18 00:14:51,0,愉快/幸福
双方都友善多了[doge],保密,2321,2024-11-18 00:06:53,1,愉快/幸福
世界周刊这个节目的质量真高,保密,2224,2024-11-18 00:13:09,0,恐惧/害怕
这下三权合一不是玩梗了，官方认证了。懂皇牛逼[doge_金箍][doge_金箍],男,5617,2024-11-18 00:21:22,0,悲伤/痛苦
不管人怎么样，什么性格，川普的一生真的可谓神人也。年近80还能二进宫总统，前阵子那些个拉票活动，搞的跟选秀一样，太离谱了，一般的年轻人都不具备这种体能和精力[笑哭],男,3235,2024-11-18 00:05:23,0,厌恶/讨厌
"央妈铁了心的不想让俺睡觉觉啊，俺偏要睡
明早再看[星星眼][星星眼]",保密,2201,2024-11-18 00:02:40,0,愤怒/生气
“三权分立”变“三权合一”？特朗普2.0时代前瞻,保密,1657,2024-11-18 00:21:15,0,厌恶/讨厌
这央妈够重视，连发两次世界周刊,男,1448,2024-11-18 00:00:59,0,厌恶/讨厌
竟然是官方[星星眼][星星眼][星星眼],男,805,2024-11-18 00:00:54,0,悲伤/痛苦
只有对手强大，才能更好突出我们的道路自信。我们从来都不畏惧强敌，特朗普的表现明显是比哈里斯更强的强敌。这样的强敌之后让我们越来越强,保密,1986,2024-11-18 00:02:23,0,愤怒/生气
[打call]YMCA[打call],男,817,2024-11-18 00:06:07,0,悲伤/痛苦
晚睡的孩子有新闻看[doge],保密,520,2024-11-18 00:03:17,0,希望/期待
失眠者大胜利[doge],保密,589,2024-11-18 00:10:18,0,悲伤/痛苦
点进来，又看了看up[黑眼圈_金箍],保密,377,2024-11-18 00:22:17,0,悲伤/痛苦
睡前听！！！央妈太及时了,保密,237,2024-11-18 00:01:14,0,惊讶/震惊
央妈长视频2.0[doge],女,168,2024-11-18 00:02:35,0,羞耻
这老头精神真好，我一天班上完都不想再说一句话[笑哭],男,388,2024-11-06 22:16:04,0,愉快/幸福
你不得不佩服马斯克的远见和眼光，从接收推特，到助力川普，不鸣则已，一鸣惊人，办大事的人，出手就是这么卓尔不凡，要么不出手，出手就是结局，他是个赌徒，也许是个赌神。,保密,636,2024-11-06 22:40:21,0,厌恶/讨厌
其实这次选举川普一直就是碾压式的干掉了哈里斯，非常轻松，只不过是大家对阴兵有点儿心理阴影了，所以搞的好紧张[笑哭],保密,493,2024-11-06 22:46:24,1,愉快/幸福
这下老马应该不需要给动物做调查问卷了,保密,169,2024-11-07 01:09:59,0,愤怒/生气
懂王明年应该要访问中国吧？届时应该会很热闹[笑哭][笑哭],男,178,2024-11-06 22:20:11,1,愉快/幸福
真·天命人！2024直面天命！,保密,151,2024-11-06 23:56:08,0,悲伤/痛苦
特朗普还是比较厉害，3战选举，就是不按照套路出牌，比拜登有意思多了,保密,109,2024-11-07 00:37:10,1,厌恶/讨厌
老马从龙之功，不过感觉他对政治不咋感兴趣[笑哭],保密,106,2024-11-06 22:40:00,0,恐惧/害怕
火箭起飞出大名，在特朗普没有发声软件时收购推特，现在已经有11个孩子了，一切就像安排好的一样，马斯克真是个可怕的人，赌上一切的人。,男,86,2024-11-07 01:09:40,0,悲伤/痛苦
"美利坚第一帝国→战锤30K人类帝国；
懂王→帝皇；
马斯克→马卡多；
万斯→荷鲁斯；
MAGA→大远征；
......
[doge_金箍]",保密,51,2024-11-06 22:18:04,0,厌恶/讨厌
感觉特朗普真的是老了，演讲的时候也没那么活力四射了，手风琴也不拉了，感觉就是赌一口气，真的赢了之后可能就无欲无求了，后面四年他能不能坚持下来，我有点怀疑,保密,67,2024-11-07 12:28:36,0,厌恶/讨厌
还是这么言简意赅，练听力有素材了[doge],保密,37,2024-11-06 22:42:17,0,悲伤/痛苦
败选之后，从走登基路[doge][doge][doge],保密,33,2024-11-06 22:14:34,0,恐惧/害怕
万斯下一任总统的候选人了[吃瓜],男,22,2024-11-07 00:35:20,0,愉快/幸福
老马是是真牛比，现在看来收购推特时，怕是已经在下大棋了,男,21,2024-11-07 08:18:25,0,悲伤/痛苦
只能说四年时间对 特 想要的愿景，时间远远不够,男,7,2024-11-07 12:13:33,1,愉快/幸福
我都被燃到了[笑哭],保密,11,2024-11-09 00:54:52,0,悲伤/痛苦
谁当总统都阻止不了霉离间惑众国走下坡路！,保密,1,2024-11-07 19:36:43,0,愤怒/生气
哈哈哈，梅拉尼娅又要开始假笑了,保密,18,2024-11-07 14:37:52,0,悲伤/痛苦
万斯真的前途无量啊,男,1,2024-11-07 12:46:12,1,愉快/幸福
最近几周我的手机每天都要收到无数个竞选电话骚扰，根本屏蔽不完[笑哭],保密,14377,2024-11-01 21:37:18,0,愤怒/生气
她的想法就是：选我当一回总统，看看会发生什么。哈哈哈[笑哭],保密,9190,2024-11-01 19:57:52,0,愤怒/生气
哈哈哈抽象到连央视都找不到什么正面新闻（）,男,5588,2024-11-01 19:57:31,0,厌恶/讨厌
央妈这波瓜吃爽了[笑哭],保密,4644,2024-11-01 19:59:09,0,愉快/幸福
美国大选（❌）创造101（✓）,保密,3297,2024-11-01 20:35:59,0,平静/冷静
还得是央视，通过直观的视图和通俗的语言把美国大选讲的很明白，就比如那个选举人票是怎样产生的，和普通选民投的票又什么关系，很少有自媒体up讲的明白。,保密,7270,2024-11-01 20:09:23,1,悲伤/痛苦
央视都关注美国大选了啊，我就说嘛，像美国大选这种参与人数众多全世界都在关注的娱乐活动就应该一年举办一次[呲牙],保密,5720,2024-11-02 16:49:58,0,愉快/幸福
"特朗普赢得大选，哈里斯就任总统，双方都有光明的未来
剑拔弩张是不可取的，盲目统一是不明智的，美国国土那么大，完全容得下两个话事人[doge]",保密,7242,2024-11-01 19:56:43,1,悲伤/痛苦
"看了封面。嗯。
一看作者。嗯？！",保密,5130,2024-11-01 19:55:40,0,愉快/幸福
乱吗？我怎么感觉很好啊，甚至希望每年都这么来一次,保密,4688,2024-11-02 09:42:39,1,愉快/幸福
啊，怎么感觉现在“央视新闻”被00后接手了，一点不严肃了，好看哈哈哈。[喜极而泣],男,2857,2024-11-02 23:07:32,0,惊讶/震惊
这波大选哪里乱了，这么多年都是这样好吗。觉得大选乱的不如想想自己的原因，工资涨没涨，有没有认真工作[脸红][脸红][脸红],女,4040,2024-11-02 10:26:32,0,厌恶/讨厌
川普娶了哈哈姐，一起入驻白宫，双赢！,女,6875,2024-11-01 20:54:27,1,愉快/幸福
同学们，美国总统大选将于2024年11月5日公布结果，如有同学当选美国总统，请第一时间联系辅导员，综测评优时将按照国家级成果加分,保密,2954,2024-11-04 07:52:33,0,厌恶/讨厌
这up谁啊？好正经的样子[妙啊],保密,3013,2024-11-01 20:40:28,0,愉快/幸福
但我上周钓到一条九斤的草鱼,保密,4797,2024-11-02 15:18:03,0,羞耻
哈里斯真是看着都起鸡皮疙瘩，笑起来更是渗人[辣眼睛]这还能叫笑的有感染力啊,保密,2444,2024-11-01 22:11:32,1,平静/冷静
我猜特朗普赢得大选，但是最后是哈哈姐入住白宫[doge],男,2470,2024-11-01 19:58:28,0,悲伤/痛苦
就不能有51个总统吗,女,1556,2024-11-01 19:55:46,0,厌恶/讨厌
可以分两个嘛～一个USA，一个USB[doge_金箍],保密,1603,2024-11-05 13:32:14,0,平静/冷静
川宝不想当总统，他只是被奥巴马嘲讽了所以想竞选成功羞辱对手而已，很励志的复仇剧情不是吗,保密,11692,2021-01-18 21:54:49,0,惊讶/震惊
这么聪明的人在美国真不多 怪不得他当总统,保密,2191,2021-01-18 18:14:22,0,愤怒/生气
人是会改变的，另外他可以说，想当总统，因为现任很一般，很多人生活水深火热[偷笑],保密,808,2021-01-18 18:20:02,1,平静/冷静
如果我是一个万恶的资本家有人像奥巴马这样说我，我也会去竞选，然后推翻他所做的一切，毕竟资本家是没有感情的[热词系列_知识增加],保密,773,2021-01-19 03:43:36,0,愤怒/生气
川宝年轻时候，简直是帅出天际,女,1111,2021-01-18 23:21:18,0,悲伤/痛苦
经商救不了美国人。[doge],保密,368,2021-01-19 00:14:54,0,愤怒/生气
两部曲《是，商人》   《是，总统》,男,212,2021-01-19 09:31:09,0,悲伤/痛苦
特朗普是个优秀的商人可不是一个合格的总统，商人伤人逐利，特朗普当上总统后亦是如此,男,441,2021-01-18 22:39:14,0,愤怒/生气
我们终究会活成自己最讨厌的样子,保密,223,2021-01-18 22:22:12,0,恐惧/害怕
特朗普的英文老了怎么变这么差了233,男,297,2021-01-18 23:26:27,0,厌恶/讨厌
[热词系列_真香]哈哈哈哈,男,169,2021-01-18 17:49:04,0,平静/冷静
他对美国的农民特别照顾，其次他很厌烦恋童癖,保密,90,2021-01-22 21:05:03,1,愉快/幸福
说实话川普怎都比奥巴马和拜登强,保密,86,2021-01-19 15:51:50,0,平静/冷静
懂王年轻的时候有点帅啊,保密,51,2021-01-19 09:35:32,1,平静/冷静
老特做生意很不错的，还有十几年前拍的《飞黄腾达》或者说《门徒》都很有教学和观赏价值。,保密,93,2021-01-19 02:22:02,1,愉快/幸福
